id,sponsored,username,time,likes,comments
/p/DBt9t2_SDbp/,not sponsored,vangraces,2024-10-29T18:31:12.000Z,"2,103",37
/p/DBgj7GBpFHy/,not sponsored,climb_lover,2024-10-24T13:35:00.000Z,"1,954",5
/p/DBYkGgto5RE/,not sponsored,teamgb,2024-10-21T11:03:19.000Z,"10,285",14
/p/DBjaFDDv15Z/,not sponsored,mellowclimbing,2024-10-25T16:07:23.000Z,"4,680",13
/p/DBr3vQ9NKeH/,not sponsored,climbingmagazine,2024-10-28T23:00:30.000Z,"6,473",79
/p/DBwsPnSNHxA/,not sponsored,jessy_pilz,2024-10-30T19:58:12.000Z,"3,432",6
/p/DBwrAAHyc2q/,not sponsored,ellas.send,2024-10-30T20:03:06.000Z,270,48
/p/DBxIuVMz9Z9/,not sponsored,climbingir,2024-10-31T00:05:06.000Z,23,no comments
/p/DBrIQ4_u1zR/,not sponsored,climbwithavi,2024-10-28T16:08:54.000Z,"5,843",15
/p/DBhw-IKPI4T/,not sponsored,rockspotclimbing,2024-10-25T01:01:15.000Z,29,no comments
/p/DBG2bbTOZTW/,not sponsored,produitsfit,2024-10-14T13:57:08.000Z,178,no comments
/p/DBwEY7yPTIh/,not sponsored,climbing_monkey27,2024-10-30T14:10:48.000Z,262,11
/p/DBoYllHMvu9/,not sponsored,gq,2024-10-27T15:00:28.000Z,"4,293",10
/p/DBu3NgOxGVW/,not sponsored,vincesclimbingacc,2024-10-30T02:54:15.000Z,22,8
/p/DBN15GXyoMl/,not sponsored,oceana_climbing,2024-10-17T07:07:08.000Z,"1,541",19
/p/DBxlPegRQuV/,not sponsored,yogaonthewall,2024-10-31T04:20:12.000Z,no likes,no comments
/p/DBfAeVcSFuH/,not sponsored,epsets_,2024-10-23T23:06:41.000Z,313,9
/p/DBgmwALtLAQ/,not sponsored,latticetraining,2024-10-24T14:00:00.000Z,"4,708",14
/p/DBxfkjEtIri/,not sponsored,rockmillclimbing,2024-10-31T03:29:14.000Z,16,no comments
/p/DBr9qqhRZE2/,not sponsored,tp_climbing,2024-10-28T23:57:23.000Z,34,9
/p/DBrU4ulyYDc/,not sponsored,itsaddileeg,2024-10-28T17:55:56.000Z,61,no comments
/p/DBuQH6wtJvN/,not sponsored,claireclimbs12,2024-10-29T21:12:50.000Z,22,no comments
/p/DBxe3HwuNR2/,not sponsored,kenzclimbz,2024-10-31T03:19:42.000Z,8,no comments
/p/DBuKdbnvTlb/,not sponsored,yogaonthewall,2024-10-29T20:27:27.000Z,46,3
/p/DBtYUFkuvab/,not sponsored,margs.hobbies,2024-10-29T13:05:05.000Z,12,no comments
/p/DBr4VxCSwhH/,not sponsored,rockclimbingjesus,2024-10-28T23:06:20.000Z,31,no comments
