time collected,id,sponsored,username,time,likes,comments,description
11-01-24 16:02:56,/p/DB0v8IbSXut/,not sponsored,rock_climbing88,2024-11-01T09:46:20.000Z,"1,492",6,Credit @boulder_park
11-01-24 16:02:56,/p/DB1sVzDym_F/,not sponsored,climb_era,2024-11-01T18:33:17.000Z,841,4,True?😂 Follow us!!🤘 
11-01-24 16:02:56,Sponsored,progressive,no time,"15,731",no comments,The easiest move you'll make all day. Tell us how much you want to pay and we’ll help get you great coverage at a fair,
11-01-24 16:02:56,/p/DBzIA1bNyoX/,not sponsored,alexhonnold,2024-10-31T18:37:22.000Z,"27,425",55,I got to do a new link up in Red Rock with my great friend @joshkmccoy! At least I’m pretty sure it’s new - we did a
11-01-24 16:03:01,/p/DByl5_yORlF/,not sponsored,theclimbingzine,2024-10-31T13:39:21.000Z,239,no comments,The ancestors who scaled these cliffs would likely be perplexed by our pursuit of climbing for recreation and not out of
11-01-24 16:03:08,/p/DB0sb1QSqae/,not sponsored,satone_yoshida,2024-11-01T09:14:52.000Z,"1,204",2,Mono pocket🖕🖕 for rock season🪨Tw
11-01-24 16:03:08,Sponsored,no username,no time,"2,111,182",130,By far the easiest way to create step-by-step guides. Get Scribe for free.,
11-01-24 16:03:16,/p/DBy9u6iIBfl/,not sponsored,ukclimbing,2024-10-31T17:07:33.000Z,"1,558",8,"Boulder Spotlight: Art of Japan (6C), Curbar Edge 📍"
11-01-24 16:03:20,/p/DBy5Af0Jpdf/,not sponsored,latticetraining,2024-10-31T16:26:17.000Z,533,no comments,HAPPY HALLOWEEN! 🎃⁣
11-01-24 16:03:27,/p/DB1TYOsIC0p/,not sponsored,redbulluk,2024-11-01T15:01:17.000Z,"6,909",58,sending it from WALL to WALL 😅
11-01-24 16:03:31,/p/DB0YsImyRTi/,not sponsored,oceana_climbing,2024-11-01T06:26:25.000Z,"2,707",18,Flash back to the zone that got me bronze🥉 
11-01-24 16:03:35,Sponsored,fpinsoles,no time,"1,046,159",346,Experience customizable foot support with FP Insoles: Instant Custom Shock Absorbing Footprint Insoles.,
11-01-24 16:03:41,/p/DBzYg1Rz_PJ/,not sponsored,itsaddileeg,2024-10-31T21:01:33.000Z,41,no comments,no costume will ever top 2021’s
11-01-24 16:03:49,/p/DB1ZwSsO0qN/,not sponsored,mellowclimbing,2024-11-01T15:50:53.000Z,"2,321",33,OUT NOW: Felipe Ho - Joker (V14/8B+) First Ascent
11-01-24 16:04:02,/p/DB1da9Fvb4f/,not sponsored,centralrockframingham,2024-11-01T16:22:56.000Z,3,no comments,Get a membership for the rest of November for free when you buy a day pass now!
11-01-24 16:04:08,/p/DB0xmqsB9gF/,not sponsored,latticetraining,2024-11-01T10:00:06.000Z,431,no comments,“I have literally had to reprogram my brain to adjust it to the moves I can now do” 📈⁣
11-01-24 16:04:08,/p/DAojWGTsGCD/liked_by/,Sponsored,officialmassdph,no time,7,no comments,Are you up to date with your seasonal vaccines? Find a location near you.
11-01-24 16:04:11,/p/DBzS_dSyeAZ/,not sponsored,cornerstoneclimbing,2024-10-31T20:13:18.000Z,29,no comments,"Introducing the Akros! From crimps to sloping jugs and more in the works, this line will have it all! Ergonomic,"
11-01-24 16:04:14,/p/DB1twL8tixq/,not sponsored,alexhonnold,2024-11-01T18:45:38.000Z,536,8,Ben Mayforth’s strength is a sight to behold. The professional paraclimber’s social clips of campusing double digit
11-01-24 16:04:21,/p/DB1zMASCvtN/,not sponsored,rockclimb.ing,2024-11-01T19:33:47.000Z,12,no comments,If you are a #rockclimber  Tap♥️ & drop your comment!
