id,username,time,likes,comments,sponsored
/p/DBoVOazuR24/,not sponsored,bakingamoment,2024-10-27T14:01:14.000Z,115,2
/p/DA0SpeJPvt0/,not sponsored,59_baking__,2024-10-07T08:58:09.000Z,48,5
Sponsored,smalldoorvet,no time,"3,559",2,
/p/DBq7v8Qvc0m/,not sponsored,kamberlandcreations,2024-10-28T14:20:06.000Z,"160,196","1,472"
Sponsored,theweekjuniorus,no time,"270,845",28,
/p/DBEfhCbOzoj/,not sponsored,factsdailyy,2024-10-13T15:59:23.000Z,"178,659",466
/p/DAoFH_voSh1/,not sponsored,femalequotient,2024-10-02T15:11:05.000Z,"989,640","8,725"
/p/DA7OF5JNm2p/,not sponsored,cassandranoelhome,2024-10-10T01:41:45.000Z,"583,640",410
/p/C_8j7Gsic4D/,not sponsored,vigilantmiinds,2024-09-15T17:35:48.000Z,"709,140","2,401"
/p/C893Ox5g4OK/liked_by/,Sponsored,fi.dogs,no time,"6,446",185
/p/DBPgm4HCsi3/,not sponsored,artistsuniversum,2024-10-17T22:41:05.000Z,"272,924","1,944"
/p/DBpeV49uVtq/,not sponsored,motherhood.and.montessori,2024-10-28T00:40:22.000Z,"7,483",79
/p/C-hJodHNrc7/,not sponsored,journeyaboutmastmoms,2024-08-11T05:31:31.000Z,"331,088","1,413"
/p/DBC4GV5gNVJ/,not sponsored,yourhumorbestie,2024-10-13T00:56:28.000Z,"2,314,343","26,025"
Sponsored,thepetlabco,no time,no likes,no comments,
/p/DBsDyAbg6W_/,not sponsored,melissa_beeler_,2024-10-29T00:45:00.000Z,"62,953",415
/p/C_VtW8_xmha/,not sponsored,artkivebox,2024-08-31T15:26:37.000Z,"156,222","2,099"
/p/DA9K8x5Imsb/,not sponsored,culturfits,2024-10-10T19:44:03.000Z,"597,334",491
/p/DAN9peZxAWN/,not sponsored,epicdadfit,2024-09-22T11:44:28.000Z,"258,469","3,013"
Sponsored,no username,no time,"552,672",39,
/p/DATKQkUorpg/,not sponsored,baby_lovings,2024-09-24T12:10:26.000Z,"4,414,685","11,338"
/p/DBOXaeQuV9Z/,not sponsored,iamthirtyaf,2024-10-17T12:00:03.000Z,"356,346","1,056"
/p/C-2cOeJOJmK/,not sponsored,beatanxiety.me,2024-08-19T11:58:07.000Z,"877,270","3,125"
/p/DBr_tBPv-ft/,not sponsored,emp.press,2024-10-29T00:10:05.000Z,"30,261",223
/p/C-_WhzwOuiP/,not sponsored,iamcassandramore,2024-08-22T23:05:22.000Z,"567,364","14,755"
/p/C-nTrIKAhtn/liked_by/,Sponsored,wpi,no time,3,no comments
/p/DBNhvi3uyMx/,not sponsored,weloveurban,2024-10-17T04:11:04.000Z,"171,844",286
/p/DBeuQUSxdrW/,not sponsored,mignonettetakespictures,2024-10-23T20:27:29.000Z,"1,830",no comments
/p/DBtlDs9RbCe/,not sponsored,tylerupdated,2024-10-29T14:55:44.000Z,"61,166",285
/p/DBj3yMrR1E8/,not sponsored,extraposty,2024-10-25T20:26:57.000Z,"835,906",711
/p/DBg-ZPpMwrQ/liked_by/,Sponsored,massaudubon,no time,21,no comments
/p/DBqwgT5RFzQ/,not sponsored,healthiest_baby,2024-10-28T12:38:02.000Z,"3,051",117
/p/DBink1KNjqw/,not sponsored,britishvogue,2024-10-25T08:46:05.000Z,"2,202,075","2,318"
/p/DA9LHGfzTFx/,not sponsored,entertainmenttonight,2024-10-10T19:45:31.000Z,"273,730",104
/p/DBpuKLyIran/,not sponsored,nutrition.for.littles,2024-10-28T02:58:18.000Z,"6,149",119
Sponsored,upfaithandfamily,no time,"613,211",184,
/p/DBry7GhT41q/,not sponsored,adeletrs,2024-10-28T22:18:24.000Z,"125,741",196
/p/DBbAqnXNWCT/,not sponsored,britishvogue,2024-10-22T09:51:24.000Z,"185,578",114
/p/DBO2voNxkAX/,not sponsored,2000sanxiety,2024-10-17T16:33:49.000Z,"100,446",127
/p/DBHNCKiPBX6/,not sponsored,billieeilishskies,2024-10-14T17:14:40.000Z,"136,008",113
/p/DArHmoMMARp/liked_by/,Sponsored,bgea,no time,9,no comments
/p/DBpwVO2phW8/,not sponsored,nadya_draws_in_seattle,2024-10-28T03:19:26.000Z,"147,488",153
/p/DBZhjD5Rwwf/,not sponsored,broadway.4me,2024-10-21T20:00:15.000Z,"310,857",620
/p/DBqnziOI0rC/,not sponsored,deeplove.quote,2024-10-28T11:22:01.000Z,"3,028",12
/p/DBt8NxjIDYc/,not sponsored,radvxz,2024-10-29T18:18:05.000Z,"87,660",453
/p/DAEFw2QgAwc/liked_by/,Sponsored,amazonprime,no time,"2,652",38
/p/DBPc9nbJV_M/,not sponsored,case.kenny,2024-10-17T22:07:47.000Z,"209,238",383
/p/C-J1QkVg8k1/,not sponsored,anadovada,2024-08-02T04:10:59.000Z,"72,662","1,518"
/p/DBRXoTmsKzR/,not sponsored,viintagedaily,2024-10-18T15:59:39.000Z,"137,079",203
/p/C_A-IU1iQRG/,not sponsored,art_viral,2024-08-23T14:08:32.000Z,"74,759",526
Sponsored,disneyanimation,no time,9,no comments,
/p/C_JzRazM2c9/,not sponsored,sipofcomfort,2024-08-27T00:25:20.000Z,"701,427","1,206"
/p/DBp2UGbOSEX/,not sponsored,gq,2024-10-28T04:09:33.000Z,"375,828",851
/p/DBbqLohNlA9/,not sponsored,luthando_xoyana,2024-10-22T15:54:10.000Z,"220,742",939
/p/DBmWEYGP3KI/,not sponsored,thirdeyethoughts,2024-10-26T19:30:07.000Z,"175,093","1,576"
/p/C9urJa6gFGD/liked_by/,Sponsored,escoffierschools,no time,"3,943",26
/p/C_GiWDdv7Nl/,not sponsored,east_the_beast_fl,2024-08-25T17:59:46.000Z,"11,147,407","165,174"
/p/C_iXc-gp8CO/,not sponsored,global_munchkins,2024-09-05T13:23:23.000Z,"2,031,245","3,443"
/p/C_EIR3cI-x1/,not sponsored,pickuplines,2024-08-24T19:33:36.000Z,"239,680","2,359"
/p/DAJOV_qNlJv/,not sponsored,cineatomy,2024-09-20T15:38:42.000Z,"1,871,877","5,777"
Sponsored,dsw,no time,no likes,no comments,
/p/DBkJj7CvkRp/,not sponsored,etthehiphoppreacher,2024-10-25T23:03:59.000Z,"65,040","1,273"
/p/DAuG9EUSJY-/,not sponsored,sammyblizzzz,2024-10-04T23:21:39.000Z,"3,226,183","12,919"
/p/DAg0smbotGA/,not sponsored,toptips_bycarol,2024-09-29T19:31:18.000Z,"364,222","4,393"
/p/DBtZiWWN9Lw/,not sponsored,busezeynep,2024-10-29T13:15:43.000Z,"105,810",674
Sponsored,villesidecustoms,no time,"11,659",14,
/p/DA6pRh5OOps/,not sponsored,ihategum,2024-10-09T20:11:18.000Z,"157,845",722
/p/DBFDbq7Jecc/,not sponsored,bet,2024-10-13T21:12:17.000Z,"212,135","1,526"
/p/DBOlgvPzKwK/,not sponsored,emotionally.perfect,2024-10-17T14:03:14.000Z,"277,790",734
/p/C-ts7y3Iaoe/,not sponsored,dr.marionyc,2024-08-16T02:30:00.000Z,"326,982",941
Sponsored,russianmath,no time,no likes,no comments,
/p/DAZUTXduPhp/,not sponsored,whoisprakasaka,2024-09-26T21:35:28.000Z,"64,979",474
/p/DA_M0dPJLfn/,not sponsored,femalequotient,2024-10-11T14:38:52.000Z,"240,698",699
/p/DBq73ZKMm6K/,not sponsored,filmthusiast,2024-10-28T14:17:18.000Z,"203,417",338
/p/DBZX2wiT7-2/,not sponsored,sarcastic_us,2024-10-21T18:35:00.000Z,"420,850",470
Sponsored,livewireev,no time,"1,911",6,
/p/DBp33SNuo6n/,not sponsored,hotfreestyle,2024-10-28T04:23:06.000Z,"56,969",415
