time collected,id,sponsored,username,time,likes,comments,description
11-01-24 21:12:04,/p/DB2WNRHSiyC/,not sponsored,bakingthursdays,2024-11-02T00:40:54.000Z,180,7,IT’S THE FIRST OF THE MONTH🗣️🗣️🐄💃🐄💃#mem
11-01-24 21:12:04,Sponsored,progressive,no time,12,no comments,"So easy to compare auto insurance rates, you’ll be revved up!",
11-01-24 21:12:04,/p/DB2IvAgx2fY/,not sponsored,bakingforbusiness,2024-11-01T22:41:24.000Z,41,6,[SAVE] Let’s plan for success this November📌
11-01-24 21:12:04,/p/DB12dQzpuei/,not sponsored,thepastryproject_,2024-11-01T20:02:18.000Z,177,6,"We are so excited to be partnering with not one, but two of our favorite brands this month, @kingarthurbaking and"
11-01-24 21:12:17,Sponsored,drteals,no time,"156,530",16,Dump Magnesium with Dr Teal’s for the ultimate relaxation 🛁,
11-01-24 21:12:24,/p/DBxb17DSupU/,not sponsored,theblackmanfamilyofficial,2024-10-31T02:54:26.000Z,"38,685",161,And that’s the proof that Jette talks a lot and has lots of opinion 😂😂
11-01-24 21:12:30,/p/DBy-6r5oUgm/,not sponsored,drkaranrajan,2024-10-31T17:30:33.000Z,"92,765","1,732",Pencil tattoo
11-01-24 21:12:41,/p/C5j1RlstsKf/liked_by/,Sponsored,canva,no time,806,7,Try Content Planner free
11-01-24 21:12:41,/p/C-20byeolcF/,not sponsored,forsurprise,2024-08-19T15:30:13.000Z,"106,601",866,I don't like makeup 🤭 #nomakeup #nomakeupchallenge #makeuptrend #makeupnomakeup #makeup #makeupinspo #makeuptutorial
11-01-24 21:12:46,/p/DByrZcspV0o/,not sponsored,collegeceliackc,2024-10-31T14:28:36.000Z,"17,933",54,Was is / was your gluten free experience in school like? 🤔 Or have you been blessed by any equally supportive friends / 
11-01-24 21:12:51,/p/DBypW0lxRA5/,not sponsored,bloomdpc,2024-10-31T14:10:50.000Z,"29,216",129,"Candy isn’t on a pedestal at the Hughes house. But there is parent tax, so hand over a Butterfinger and Reese’s "
11-01-24 21:12:57,/p/DBzTT_BvyXU/,not sponsored,dailymail,2024-10-31T20:16:28.000Z,"66,926",381,Jennifer Garner celebed Halloween by bringing back one of her most iconic film looks. The 52-year-old actress - who
11-01-24 21:13:02,Sponsored,tjmaxx,no time,"1,656",no comments,Get a head start on all the best gifts at TJ Maxx.,
11-01-24 21:13:02,/p/DBEziDZoZkl/,not sponsored,_drboyd,2024-10-13T18:58:17.000Z,"101,947",370,❤️For all those who have felt “too much”.
11-01-24 21:13:13,/p/DBxVpqsvPmS/,not sponsored,slappablejerk,2024-10-31T01:59:42.000Z,"19,369",155,Is everyone at the party “uncultured” or is it just not a great costume? 🤔 #cringe #halloween #halloweencostume
11-01-24 21:13:18,/p/DAqi2hov7WG/,not sponsored,tori_the_therapist,2024-10-03T14:10:24.000Z,"11,080",161,Proof that social media can’t be trusted⬆️
11-01-24 21:13:24,/p/DByvU0JOa6A/,not sponsored,alexholleytv,2024-10-31T15:03:49.000Z,"32,021","1,554",AS IF you can name a more iconic duo!!! 
11-01-24 21:13:31,/p/DBZWa1pM6av/liked_by/,Sponsored,shopwithgoogle,no time,31,no comments,Must-get gifts to check off your list: Shop top-rated lip masks & more beauty favorites with Google.
11-01-24 21:13:38,/p/DBwDqYZufYz/,not sponsored,thetiabeestokes,2024-10-30T14:02:50.000Z,"9,174",138,CAN YOU BELIEVE THEY DID THAT??? 🥹
11-01-24 21:13:49,/p/DBzB0OcpDAS/,not sponsored,wehavethedata,2024-10-31T17:43:13.000Z,"14,426",636,I’m moving to France
11-01-24 21:13:55,/p/DByliZWxyh4/,not sponsored,sportsish,2024-10-31T13:36:07.000Z,"84,145",138,"Happy Halloween, this post is *important* "
11-01-24 21:14:03,/p/C_U7RYtKZuL/,not sponsored,luvleykriii,2024-08-31T08:09:58.000Z,"541,531","1,797",When your specs don’t wanna corporate with you😭
11-01-24 21:14:09,Sponsored,pepsi,no time,924,no comments,Here to make sure every pizza is chased with a Pepsi.,
11-01-24 21:14:16,/p/DBynRscuLD9/,not sponsored,kellyclarksonshow,2024-10-31T13:52:53.000Z,"40,681",274,How’d we do y’all? 🤩👻 Tune in today for an EXTRA special Kellyoke! #HappyHalloween
11-01-24 21:14:16,/p/DBy2BjstVWt/,not sponsored,people,2024-10-31T16:30:12.000Z,"37,795",69,Jennifer Garner is throwing it back to 13 Going on 30 for Halloween!
11-01-24 21:14:22,/p/C_B9MF4ScAI/,not sponsored,entertainmenttonight,2024-08-23T23:17:58.000Z,"345,536",922,Gonna keep this 𝓈𝒽𝑜𝓇𝓉 & 𝓈𝓌𝑒𝑒𝓉 and remind you that Sabrina Carpenter has always been that girl. 🫶
11-01-24 21:14:29,/p/DBxf0r6tdU4/,not sponsored,factsdailyy,2024-10-31T03:26:57.000Z,207,no comments,My boy GPT came in clutch 👏
11-01-24 21:14:34,Sponsored,qvc,no time,"99,448",28,You’re invited! 💌🎄 @mallyroncal and @lawrencezarian want YOU to join us for QVC’s Biggest-Ever Nonstop Holiday Party,
11-01-24 21:14:41,/p/C-uhtVwu1GE/,not sponsored,johnejreynolds,2024-08-16T10:12:53.000Z,"193,454",197,She’s so cheeky 🤣😅 •
11-01-24 21:14:48,/p/C_TlmECSnr3/,not sponsored,danikajolenee,2024-08-30T19:43:05.000Z,"2,245,469","18,325",GUYS! Please laugh with us because dark humor is the best 🤣💗🫶🏼 We saw another group do this and had to come through! _
11-01-24 21:14:53,/p/C_1MnK1hdlr/,not sponsored,talaikay,2024-09-12T20:54:27.000Z,no likes,no comments,Here’s my 100th post about this cause it’s my favorite story to tell 🤪 #momlife #dadlife #lovestory #family
11-01-24 21:14:59,/p/C_yw_3dxTHL/,not sponsored,iheartradio,2024-09-11T22:14:03.000Z,"87,720","4,576",That’s how you make an entrance 😮‍💨 #VMAs
11-01-24 21:15:04,/p/Bmehcm4jEsM/comments/,Sponsored,sun_gazing,no time,"7,715,712","10,208",Caption This! 😍😍 1 day old otter pup sleeping on mama 😍😍 via: ViralHogPa
11-01-24 21:15:13,/p/DBWIB-AOfun/,not sponsored,iamthirtyaf,2024-10-20T12:19:33.000Z,"180,535",818,Twilight had me. I stuck with it through lines that made a little question mark appear above my head where it would
