time collected,id,sponsored,username,time,likes,comments,description
10-31-24 08:54:27,/p/DBuJx51M-G8/,not sponsored,cedarhouseri,2024-10-29T20:16:43.000Z,23,2,"We love designing kitchens that break away from the ordinary. By mixing colors, wood tones, and warm white cabinets, we"
10-31-24 08:54:27,/p/DByXRv7ubyW/,not sponsored,prudencehomeanddesign,2024-10-31T11:31:31.000Z,36,no comments,So bluetiful! 
10-31-24 08:54:27,/p/DBcIpquxvMk/,not sponsored,lifestylem_interiordesign,2024-10-22T20:20:25.000Z,"6,631",64,"Since y’all were loving the blue cabinet designs, here are some more inspirations for your next home build or reno"
10-31-24 08:54:27,/p/DBxIJ0TpV1u/,not sponsored,homeanddesigndc,2024-10-31T00:00:18.000Z,38,3,Hot off the press! @homeanddesigndc is proud to unveil the cover of our late fall issue! Highlights include: designer
10-31-24 08:54:32,/p/DBygn_apyYy/,not sponsored,aga.interiordesign,2024-10-31T12:53:12.000Z,no likes,no comments,Happy Halloween!🎃
10-31-24 08:54:39,/p/DBoKPHCxE-W/,not sponsored,andrewjhow,2024-10-28T12:25:00.000Z,450,10,Henry told a friend he wasn’t sure why someone makes his bed as it is way easier to get in if no one makes it.  Here is
10-31-24 08:54:46,/p/DBZRkMGS2g_/,not sponsored,guidedhomedesign,2024-10-21T17:40:35.000Z,19,no comments,Meet Christopher | Interior Designer
10-31-24 08:54:53,/p/DBhQgHMxFHv/,not sponsored,sarahstaceyinteriordesign,2024-10-24T20:05:16.000Z,43,4,"Scale plays a crucial role in this composition. The oversized wallpaper pattern dwarfs the furniture, creating a sense"
10-31-24 08:54:58,/p/DBw2rd-P0Gt/,not sponsored,designmanifest,2024-10-30T21:27:26.000Z,193,30,Please join us in celebrating Emi in her new position as Director of Communications! 💜
10-31-24 08:55:04,/p/DBMOYLZs_Kh/,not sponsored,mohd_homedesign,2024-10-16T16:02:37.000Z,95,no comments,"Casa Tacchini is a physical and conceptual space where re-editions and modern creations coexist, creating an atmosphere"
10-31-24 08:55:08,/p/DBls_RlJD3X/,not sponsored,jyoungdesignhouse,2024-10-26T13:31:06.000Z,"9,536",258,Autumn in the City 🤍.
10-31-24 08:55:14,/p/DBwvSolvwkh/,not sponsored,voiladesignhome,2024-10-30T20:22:52.000Z,95,3,Another incredible weekend at High Point Furniture Market meeting our vendors and other industry leaders. 
10-31-24 08:55:19,/p/DBxP9WVo8gM/,not sponsored,patticakewagner,2024-10-31T01:08:19.000Z,39,no comments,This is what 41 looks like 🫶. And swipe for some October favorites. Didn’t get a chance to post last week with the
